actor_loss,critic_loss,total_loss
-1.1175870895385742e-07, 7092.9560546875, 3546.4765625
0.006029054522514343, 6766.90625, 3383.457763671875
0.012425992637872696, 7263.2021484375, 3631.612060546875
-0.0010824128985404968, 7051.5810546875, 3525.7880859375
-0.001329667866230011, 8116.7587890625, 4058.376708984375
-0.004464693367481232, 7630.6728515625, 3815.33056640625
-0.0013690590858459473, 6991.21044921875, 3495.602294921875
0.0024046674370765686, 7920.974609375, 3960.48828125
-0.011280672624707222, 6993.5380859375, 3496.75634765625
0.002291768789291382, 7292.1142578125, 3646.057861328125
-0.012842409312725067, 7987.46484375, 3993.718017578125
-0.010969124734401703, 6794.376953125, 3397.176025390625
-0.021233253180980682, 5910.0029296875, 2954.978759765625
-0.018511515110731125, 7768.6103515625, 3884.28515625
-0.02054327353835106, 6423.3642578125, 3211.66015625
-0.018048731610178947, 7257.49072265625, 3628.725830078125
0.005651362240314484, 6709.5068359375, 3354.757568359375
0.003305148333311081, 6686.1474609375, 3343.07568359375
0.000115908682346344, 7243.98095703125, 3621.989013671875
-0.0075837066397070885, 6506.943359375, 3253.462646484375
-0.01741192862391472, 5947.27587890625, 2973.619140625
-0.015311647206544876, 6985.185546875, 3492.575927734375
-0.02480832301080227, 7271.2470703125, 3635.59716796875
-0.013203952461481094, 7167.779296875, 3583.875
-0.006092093884944916, 7252.1767578125, 3626.080810546875
-0.007298145443201065, 6749.595703125, 3374.7890625
-0.0019944235682487488, 7339.8349609375, 3669.9140625
-0.011543072760105133, 7067.30322265625, 3533.638671875
-0.01459549181163311, 7309.0166015625, 3654.4921875
-0.005009595304727554, 6449.0908203125, 3224.538818359375
-0.004402473568916321, 5702.79931640625, 2851.393798828125
-0.006499268114566803, 6545.19775390625, 3272.5908203125
-0.008205577731132507, 5899.9853515625, 2949.98291015625
-0.01668243110179901, 6547.6416015625, 3273.802734375
-0.02282823622226715, 5608.4658203125, 2804.20849609375
-0.008172530680894852, 6579.6611328125, 3289.821044921875
-0.007559698075056076, 6192.66357421875, 3096.32275390625
-0.00713585689663887, 6653.9326171875, 3326.957763671875
